IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 15:13:24 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:13:24 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:14:02 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 15:14:03 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 15:14:03 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 15:14:11 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 15:14:11 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved 	 Data e Hora: 23 10 2014 15:16:05 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 15:16:11 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 15:16:12 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 15:16:12 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 18:09:56 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 18:09:56 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:09:56 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 18:10:01 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 18:10:01 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 18:10:09 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:10:15 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:10:18 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:10:24 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:10:29 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:10:43 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:10:59 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:11:10 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:11:14 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:11:18 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:11:22 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:11:34 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:11:40 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:11:46 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:11:57 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: movdo 	 Data e Hora: 23 10 2014 18:12:01 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:12:08 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 18:12:15 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 18:12:15 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 18:12:25 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 18:12:25 GMT 
