max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564683
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564687
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564691
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564695
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564699
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564703
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564707
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564711
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564715
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564719
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564723
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564727
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564731
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564735
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564739
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564743
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564747
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564751
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564755
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564759
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564763
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564767
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564771
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564775
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564779
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564783
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564787
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564791
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564795
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564799
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564803
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564807
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564811
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564815
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564819
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564823
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564827
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564831
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564835
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564839
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564843
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564847
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564851
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564855
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564859
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564863
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564867
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564871
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564875
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564879
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564883
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564887
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564891
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564895
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564899
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564903
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564907
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564911
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564915
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564919
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564923
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564927
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564931
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564935
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564939
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564943
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564947
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564951
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564955
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564959
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564963
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564967
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564971
